_id,author,date,journal,keywords,org,country,title,url,
59a8bc111d41c81f54ab2bfc,"Stephens AR, Wiener RS, Ieong MH.",2017 Aug 29,Journal of palliative medicine,"['COPD', ' advance directives', ' electronic health records', ' natural language processing']",";1 The Pulmonary Center, Boston University School of Medicine , Boston, Massachusetts.;2 Center for Healthcare Organization and Implementation Research , Edith Nourse Rogers Memorial Veterans Affairs Hospital, Bedford, Massachusetts.","Boston, Massachusetts, USA; Bedford, Massachusetts, USA",Comparison of Methods To Identify Advance Care Planning in Patients with Severe Chronic Obstructive Pulmonary Disease Exacerbation.,https://www.ncbi.nlm.nih.gov/pubmed/28850288,
59a8bc121d41c81f54ab2bfd,"Ding H, Ye ZH, Wen DY, Huang XL, Zeng CM, Mo J, Jiang YQ, Li JJ, Cai XY, Yang H, Chen G.",2017 Aug 17,Molecular medicine reports,KEYWORDS_NA,";Department of Radiotherapy, First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China.;Department of Pathology, First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China.;Department of Medical Ultrasonics, First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China.;Department of General Surgery, First Affiliated Hospital of Guangxi Medical University, Nanning, Guangxi Zhuang Autonomous Region 530021, P.R. China.","Nanning, Guangxi, China",Downregulation of miR‑136‑5p in hepatocellular carcinoma and its clinicopathological significance.,https://www.ncbi.nlm.nih.gov/pubmed/28849100,
59a8bc121d41c81f54ab2bfe,"Hong SN, Son HJ, Choi SK, Chang DK, Kim YH, Jung SH, Rhee PL.",2017 Aug 25,PloS one,KEYWORDS_NA,";Department of Medicine, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.;Center for Health Promotion, Samsung Medical Center, Seoul, South Korea.;Biostatistics and Bioinformatics Center, Samsung Cancer Research Institute, Samsung Medical Center, Seoul, Korea.;Department of Biostatistics and Bioinformatics, Duke University, Durham, North Carolina, United States of America.","Seoul, South Korea; Durham, North Carolina, USA",A prediction model for advanced colorectal neoplasia in an asymptomatic screening population.,https://www.ncbi.nlm.nih.gov/pubmed/28841657,
59a8bc131d41c81f54ab2bff,"Turner CA, Jacobs AD, Marques CK, Oates JC, Kamen DL, Anderson PE, Obeid JS.",2017 Aug 22,BMC medical informatics and decision making,"['Machine learning', ' Natural language processing', ' Systemic lupus erythematosus']",";Department of Computer Science, College of Charleston, 66 George Street, Charleston, 29424, USA. caturner3@g.cofc.edu.;Department of Computer Science, College of Charleston, 66 George Street, Charleston, 29424, USA.;Department of Public Health Sciences, Medical University of South Carolina, 135 Cannon Street, Charleston, 29425, USA.","Charleston, South Carolina, USA",Word2Vec inversion and traditional text classifiers for phenotyping lupus.,https://www.ncbi.nlm.nih.gov/pubmed/28830409,
59a8bc131d41c81f54ab2c00,"Saunders CH, Elwyn G, Kirkland K, Durand MA.",2017 Aug 20,The patient,KEYWORDS_NA,";The Dartmouth Institute for Health Policy and Clinical Practice, 1 Medical Center Drive, Lebanon, NH, 03766, USA. Catherine.H.Saunders.GR@dartmouth.edu.;The Dartmouth Institute for Health Policy and Clinical Practice, 1 Medical Center Drive, Lebanon, NH, 03766, USA.;Dartmouth-Hitchcock Medical Center, Lebanon, NH, USA.;Geisel School of Medicine, Hanover, NH, USA.","Lebanon, NH, USA; Hanover, NH, USA.",Serious Choices: A Protocol for an Environmental Scan of Patient Decision Aids for Seriously Ill People at Risk of Death Facing Choices about Life-Sustaining Treatments.,https://www.ncbi.nlm.nih.gov/pubmed/28825182,
59a8bc141d41c81f54ab2c01,"Fan Y, He L, Zhang R.",2016 Dec,Proceedings. IEEE International Conference on Bioinformatics and Biomedicine,"['Clinical Notes', ' Electronic Health Records', ' Natural Language Processing', ' Regular Expression', ' Supplements Use Status']",";Institute for Health Informatics, University of Minnesota, Minneapolis, MN, USA.;Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA.;Institute for Health Informatics, Department of Surgery, University of Minnesota, Minneapolis, MN, USA.","Minneapolis, MN, USA",Classification of Use Status for Dietary Supplements in Clinical Notes.,https://www.ncbi.nlm.nih.gov/pubmed/28824824,
59a8bc151d41c81f54ab2c02,"Gálvez JA, Pappas JM, Ahumada L, Martin JN, Simpao AF, Rehman MA, Witmer C.",2017 Aug 16,Journal of thrombosis and thrombolysis,"['Epidemiology', ' Natural language processing', ' Pediatrics', ' Quality improvement', ' Venous thromboembolism', ' Venous thrombosis']",";Section of Biomedical Informatics, Department of Anesthesiology & Critical Care Medicine, The Children's Hospital of Philadelphia, University of Pennsylvania Perelman School of Medicine, 3401 Civic Center Blvd, Suite 9329, Philadelphia, PA, 19096, USA. galvezj@email.chop.edu.;Clinical Data & Analytics, The Children's Hospital of Philadelphia, Philadelphia, PA, USA.;Enterprise Analytics and Reporting, The Children's Hospital of Philadelphia, Philadelphia, PA, USA.;Section of Biomedical Informatics, Department of Anesthesiology & Critical Care Medicine, The Children's Hospital of Philadelphia, University of Pennsylvania Perelman School of Medicine, 3401 Civic Center Blvd, Suite 9329, Philadelphia, PA, 19096, USA.;Hemostasis and Thrombosis Center, Division of Hematology, The Children's Hospital of Philadelphia, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA, USA.","Philadelphia, PA, USA",The use of natural language processing on pediatric diagnostic radiology reports in the electronic health record to identify deep venous thrombosis in children.,https://www.ncbi.nlm.nih.gov/pubmed/28815363,
59a8bc151d41c81f54ab2c03,"Wadia R, Shifman M, Levin FL, Marenco L, Brandt CA, Cheung KH, Taddei T, Krauthammer M.",2017 Jul 26,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,KEYWORDS_NA,";VA Connecticut Healthcare System, West Haven, CT.;Yale University School of Medicine New Haven, CT.","West Haven, CT, USA; New Haven, CT, USA",A Clinical Decision Support System for Monitoring Post-Colonoscopy Patient Follow-Up and Scheduling.,https://www.ncbi.nlm.nih.gov/pubmed/28815144,
59a8bc161d41c81f54ab2c04,"Sijia L, Liwei W, Ihrke D, Chaudhary V, Tao C, Weng C, Liu H.",2017 Jul 26,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,KEYWORDS_NA,";Division of Biomedical Statistics and Informatics, Mayo Clinic, Rochester, MN, USA.;Department of Computer Science and Engineering, University at Buffalo, Buffalo, NY,USA.;School of Biomedical Informatics, University of Texas Health Science Center at Houston, Houston, TX, USA.;Department of Biomedical Informatics, Columbia University, New York, NY, USA.","Rochester, MN, USA;  Buffalo, NY,USA; Houston, TX, USA; New York, NY, USA.",Correlating Lab Test Results in Clinical Notes with Structured Lab Data: A Case Study in HbA1c and Glucose.,https://www.ncbi.nlm.nih.gov/pubmed/28815133,
59a8bc161d41c81f54ab2c05,"Liang JJ, Tsou CH, Devarakonda MV.",2017 Jul 26,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,KEYWORDS_NA,";IBM Research, Yorktown Heights, NY, USA.","Yorktown Heights, NY, USA.",Ground Truth Creation for Complex Clinical NLP Tasks - an Iterative Vetting Approach and Lessons Learned.,https://www.ncbi.nlm.nih.gov/pubmed/28815130,
